,0
0,Connecticut
1,Delaware
2,Idaho
3,Indiana
4,Iowa
5,Kentucky
6,Louisiana
7,Minnesota
8,Mississippi
9,Montana
10,Nebraska
11,Nevada
12,Oklahoma
13,Oregon
14,Rhode Island
15,Tennessee
16,Wyoming
